x	y	w	h	class	class_name	time
76	741	95	80	0	buba	24404
1369	1050	193	31	3	chest	27007
1341	1014	166	68	3	chest	27137
864	1012	100	63	0	buba	27137
804	939	88	77	0	buba	27257
1265	970	164	110	3	chest	27257
736	979	105	80	0	buba	27257
750	885	83	88	0	buba	27382
1208	930	152	122	3	chest	27382
651	999	121	70	0	buba	27382
690	875	86	89	0	buba	27505
639	933	78	82	0	buba	27505
1154	893	157	110	3	chest	27505
582	1014	92	59	0	buba	27505
574	954	80	78	0	buba	27629
689	830	80	81	0	buba	27629
1240	981	102	85	0	buba	27629
1143	850	146	119	3	chest	27629
941	928	91	89	0	buba	27629
600	883	94	85	0	buba	27752
709	755	88	94	0	buba	27752
1262	931	104	95	0	buba	27752
1170	1003	91	76	0	buba	27752
658	795	88	106	0	buba	27752
1036	936	107	94	0	buba	27752
720	768	77	66	0	buba	27862
658	800	101	75	0	buba	27862
760	675	93	88	0	buba	27862
1220	914	92	122	0	buba	27862
805	683	87	77	0	buba	27985
708	780	97	71	0	buba	27985
1040	800	107	84	0	buba	27985
1256	857	127	107	0	buba	27985
750	762	87	65	0	buba	28096
827	659	84	87	0	buba	28096
1272	829	118	96	0	buba	28096
1291	680	151	125	3	chest	28096
1085	765	101	81	0	buba	28096
1295	831	101	88	0	buba	28218
788	698	89	87	0	buba	28218
1415	765	106	99	0	buba	28218
1112	724	92	82	0	buba	28218
1190	764	98	96	0	buba	28218
1310	796	105	88	0	buba	28331
802	645	116	101	0	buba	28331
852	639	91	88	0	buba	28331
1436	750	113	101	0	buba	28331
1311	756	114	82	0	buba	28458
1369	601	153	104	3	chest	28458
1463	716	110	100	0	buba	28458
815	631	120	92	0	buba	28458
834	674	82	73	0	buba	28595
1315	726	114	102	0	buba	28595
1398	571	145	120	3	chest	28595
1341	759	98	76	0	buba	28715
856	644	93	89	0	buba	28715
1529	674	104	100	0	buba	28715
1432	549	142	114	3	chest	28715
1381	714	111	80	0	buba	28841
923	601	81	77	0	buba	28841
1577	627	113	123	0	buba	28841
1485	516	147	114	3	chest	28841
1469	624	94	92	0	buba	28841
1274	597	96	80	0	buba	28841
1410	646	117	94	0	buba	28965
967	566	87	74	0	buba	28965
1534	477	153	108	3	chest	28965
1635	587	103	110	0	buba	28965
995	353	92	91	0	buba	28965
1025	403	93	78	0	buba	28965
1031	512	90	74	0	buba	29090
1086	404	92	64	0	buba	29090
1439	589	126	86	0	buba	29090
1692	544	107	99	0	buba	29090
1585	518	103	90	0	buba	29090
1598	423	153	107	3	chest	29090
