x	y	w	h	class	class_name	time
659	259	60	67	0	buba	22149
522	361	79	100	1	kiki	22149
635	155	76	84	1	kiki	22149
772	280	61	77	0	buba	22149
576	153	75	86	1	kiki	22266
599	260	60	65	0	buba	22266
700	334	67	71	0	buba	22266
710	272	61	72	0	buba	22266
630	410	87	85	1	kiki	22388
392	327	88	120	1	kiki	22388
556	356	48	57	0	buba	22388
539	257	51	62	0	buba	22388
588	396	87	97	1	kiki	22516
495	251	60	69	0	buba	22516
373	350	90	107	1	kiki	22516
560	398	91	93	1	kiki	22633
468	242	70	68	0	buba	22633
332	347	91	109	1	kiki	22633
468	240	67	73	0	buba	22749
558	368	97	102	1	kiki	22749
414	132	80	89	1	kiki	22864
476	262	51	61	0	buba	22864
560	344	65	78	0	buba	22864
550	347	95	104	1	kiki	22984
475	245	52	61	0	buba	22984
480	219	67	64	0	buba	23098
571	353	76	88	1	kiki	23098
494	194	69	71	0	buba	23217
575	325	82	90	1	kiki	23217
333	270	82	102	1	kiki	23331
587	278	80	89	1	kiki	23331
614	206	86	78	0	buba	23331
507	203	83	77	0	buba	23331
631	260	83	102	1	kiki	23448
517	256	103	91	1	kiki	23448
332	228	102	96	1	kiki	23448
512	171	58	52	0	buba	23448
545	238	110	99	1	kiki	23565
640	260	99	93	1	kiki	23565
514	126	81	67	0	buba	23565
416	203	82	122	1	kiki	23681
636	228	94	99	1	kiki	23681
590	231	77	95	1	kiki	23805
419	193	81	99	1	kiki	23805
664	186	89	102	1	kiki	23805
421	173	90	107	1	kiki	23931
595	200	91	105	1	kiki	23931
704	197	99	112	1	kiki	23931
625	215	102	102	1	kiki	24049
712	229	93	99	1	kiki	24049
641	114	81	67	0	buba	24049
508	186	73	117	1	kiki	24165
659	208	124	138	1	kiki	24165
486	184	85	103	1	kiki	24282
636	234	99	97	1	kiki	24282
448	151	100	158	0	buba	24404
731	224	96	99	1	kiki	24404
745	247	95	105	1	kiki	24532
574	177	122	135	0	buba	24532
719	225	96	109	1	kiki	24650
564	185	103	112	1	kiki	24650
426	158	76	88	1	kiki	24650
1490	618	52	61	0	buba	24882
624	172	123	131	1	kiki	24882
410	112	90	79	1	kiki	25001
611	168	89	96	1	kiki	25001
1443	602	46	51	0	buba	25001
1411	576	52	59	0	buba	25115
1731	869	60	76	0	buba	25115
508	116	97	73	1	kiki	25231
1650	824	55	75	0	buba	25348
1354	548	55	60	0	buba	25348
433	112	129	96	1	kiki	25474
1341	546	52	64	0	buba	25474
1626	820	48	60	0	buba	25474
444	145	75	91	1	kiki	25598
1590	815	64	58	0	buba	25598
454	146	76	97	1	kiki	25715
316	112	98	101	1	kiki	25832
489	153	101	116	1	kiki	25832
1580	827	53	58	0	buba	25950
562	191	127	123	1	kiki	25950
610	266	79	88	1	kiki	26065
445	201	83	115	1	kiki	26065
635	278	80	90	1	kiki	26182
465	218	91	106	1	kiki	26182
532	217	89	119	1	kiki	26298
687	276	93	102	1	kiki	26298
617	269	100	113	1	kiki	26417
730	366	73	89	1	kiki	26649
866	392	73	116	0	buba	26773
951	396	107	98	0	buba	27031
1020	514	86	100	1	kiki	27264
896	424	116	127	0	buba	27264
1051	503	99	140	1	kiki	27381
958	478	71	95	1	kiki	27381
571	122	90	76	0	buba	27504
1079	526	113	144	1	kiki	27504
1061	542	183	111	1	kiki	27631
385	116	101	91	0	buba	27631
607	164	60	47	0	buba	27631
624	172	69	60	0	buba	27749
1141	542	105	137	1	kiki	27749
634	167	73	71	0	buba	27866
409	145	79	59	0	buba	27866
1141	541	114	147	1	kiki	27866
641	160	79	77	0	buba	27984
1146	542	133	142	1	kiki	27984
427	163	75	59	0	buba	27984
438	168	80	67	0	buba	28098
1133	569	179	139	1	kiki	28098
654	173	71	63	0	buba	28098
449	158	77	74	0	buba	28215
680	199	62	65	0	buba	28215
1237	597	84	90	1	kiki	28215
692	203	68	70	0	buba	28331
1149	603	102	100	1	kiki	28331
456	164	77	69	0	buba	28331
689	193	72	80	0	buba	28450
459	209	70	52	0	buba	28450
456	205	70	69	0	buba	28566
671	188	79	67	0	buba	28566
430	190	75	76	0	buba	28682
660	230	59	53	0	buba	28682
394	184	75	65	0	buba	28799
639	225	59	55	0	buba	28799
615	123	79	81	0	buba	28799
1407	877	97	108	1	kiki	28799
1027	580	98	98	1	kiki	28799
594	204	76	69	0	buba	28915
357	209	72	58	0	buba	28915
1173	638	84	85	1	kiki	28915
551	194	82	63	0	buba	29033
328	205	68	68	0	buba	29033
510	225	67	45	0	buba	29168
986	541	142	123	1	kiki	29168
482	208	65	62	0	buba	29282
1664	652	146	322	5	altar	29282
443	192	62	69	0	buba	29397
389	167	72	74	0	buba	29520
348	189	65	53	0	buba	29650
322	188	60	63	0	buba	29767
353	119	95	84	0	buba	29883
861	482	67	82	0	buba	30000
341	116	87	82	0	buba	30000
847	472	68	83	0	buba	30115
712	416	82	97	1	kiki	30115
717	373	102	102	1	kiki	30233
802	496	85	80	1	kiki	30349
787	482	82	80	1	kiki	30467
680	292	78	115	1	kiki	30697
749	464	75	83	1	kiki	30697
723	444	91	97	1	kiki	30815
706	429	99	96	1	kiki	30932
1465	232	95	334	4	ladder	31049
710	445	104	86	1	kiki	31049
706	462	83	91	1	kiki	31167
1452	224	97	344	4	ladder	31167
1697	496	102	370	4	ladder	31285
1439	234	102	332	4	ladder	31285
1441	233	97	331	4	ladder	31397
1678	519	100	329	4	ladder	31745
1449	255	99	343	4	ladder	31745
1683	514	97	338	4	ladder	31861
1451	257	97	343	4	ladder	31861
1453	256	93	343	4	ladder	31980
1687	492	94	378	4	ladder	32095
1454	261	92	330	4	ladder	32095
1455	263	93	323	4	ladder	32421
